healpix_5,avg_pmra,avg_pmdec
11904.0,-1.0315325284039902,-7.237359214782031
10168.0,-3.6489468955707243,0.5790663876845547
2726.0,-6.967425390762938,-9.142325590123333
10921.0,-10.14806778940541,-0.7285265215620357
609.0,2.998053090718739,-4.312979956277798
8713.0,8.917008265578243,-3.6515978690988202
9463.0,-7.123831230772622,4.598689826164102
5308.0,3.733265852800324,-2.0629935310929253
8015.0,-0.7964956210250487,-4.75252287510362
10125.0,-4.361527143012996,1.1264366841976061
8882.0,10.229864979335145,-8.374639183767183
9504.0,-9.351538420111806,3.143266786441841
385.0,2.6653057083589387,-4.810047473299512
3791.0,-1.725387911744944,-3.318593735075464
6438.0,-9.761068143127577,-5.814404627848682
12191.0,1.0450655370916786,-6.815271301737956
2157.0,-6.516210512289545,-6.707923480234131
2223.0,-7.836488637929212,-6.494224440081602
9091.0,7.893746384037704,-4.862280475634109
10186.0,-4.779708624402247,0.03709821534061118
5845.0,2.2400439178417244,-4.55858343400209
11507.0,2.8815559517235285,-7.93528035098477
7592.0,-0.9248367811055612,-4.41566995958513
1576.0,-0.05869528337382836,-6.071910772971223
904.0,1.0699437403696033,-1.9940940937663958
634.0,1.8349240440535028,-3.0480720478250007
4575.0,3.000737217695563,-5.937712420097541
5557.0,-0.39148994294227885,-3.8642194383106507
1045.0,-5.020108168467938,-4.808175221933229
7859.0,-5.035193160347338,-6.05808047003562
11168.0,-8.04999357869288,-4.973690683785201
6447.0,-7.8642876051883235,-4.540106583984473
4441.0,6.265486782925625,-5.665089445658049
1270.0,-3.1560018725094676,-6.23293464698927
11398.0,1.189549144581834,-8.57072034815213
8786.0,9.375224992745988,-1.328478721444072
9969.0,-2.5018938886991458,1.9256320561446576
3509.0,-1.5311236105025712,-3.621395916234775
3599.0,-1.0395839095805355,-4.442584861810038
9764.0,-0.20041033354822627,6.615720601902401
8972.0,7.348372809977491,-2.7589457514500775
6478.0,-10.454344008819632,-5.733352357379043
7426.0,0.18422694894749003,-5.333625602393484
1624.0,-3.4142462428149023,-7.136877199843692
5254.0,2.9077179011402143,0.21050581114179964
7214.0,-0.9129346899910149,-4.643495317908015
5329.0,0.4656644014197093,-1.0563532046232393
2720.0,-7.375440825367405,-6.736975984084839
5918.0,0.6142417628633337,-3.9629006179813406
6575.0,-13.05243928325482,-7.352589753472872
6674.0,-9.383112460561644,-2.1830808898621097
868.0,2.1735147142496904,-3.1354913397007564
6398.0,-11.153225490207742,-4.504274899156694
770.0,2.534420129043397,-3.9298594255272374
1251.0,-2.8385009800511636,-4.983116501244719
10789.0,-9.924613024718495,-2.023002497510499
6481.0,-7.745643046642943,-4.988314784580861
150.0,5.506927749293313,-6.623386321179242
2698.0,-8.641958072264806,-6.916603415928275
7972.0,-1.742054082618383,-4.955762055436552
7345.0,-1.6394290148658988,-4.625851504258462
44.0,5.73722908470687,-7.547117442031498
