healpix_5,num_sources
830.0,231360
831.0,159079
832.0,194393
833.0,167361
834.0,204063
835.0,160961
836.0,135538
837.0,98684
838.0,119891
839.0,91102
840.0,168421
841.0,152324
842.0,160632
843.0,137827
844.0,103105
845.0,82180
846.0,101186
847.0,73609
848.0,82810
849.0,67869
850.0,83925
851.0,68533
852.0,54681
853.0,45908
854.0,55465
855.0,47127
856.0,75806
857.0,66715
858.0,74301
859.0,64509
860.0,54832
861.0,45173
862.0,53483
863.0,42277
864.0,146238
865.0,133744
866.0,132380
867.0,111840
868.0,87982
869.0,76147
870.0,83750
871.0,77017
872.0,136397
873.0,96931
874.0,113320
875.0,101090
876.0,92285
877.0,74123
878.0,84617
879.0,70422
880.0,70888
881.0,61873
882.0,69453
883.0,59383
884.0,50660
885.0,39562
886.0,48080
887.0,36686
888.0,67113
889.0,55836
890.0,65316
891.0,53943
892.0,45523
893.0,36393
894.0,43347
895.0,34611
896.0,175718
897.0,217153
898.0,207512
899.0,242753
900.0,227366
901.0,178311
902.0,227785
903.0,244274
904.0,240242
905.0,281884
906.0,256550
907.0,219387
908.0,231721
909.0,269513
910.0,237736
911.0,254295
912.0,159701
913.0,236250
914.0,273564
915.0,230969
916.0,189105
917.0,130917
918.0,163752
919.0,122982
920.0,272335
921.0,175025
922.0,195613
923.0,147018
924.0,151528
925.0,117138
926.0,132475
927.0,113000
928.0,256689
929.0,218846
930.0,273599
931.0,238192
932.0,208620
933.0,205951
934.0,188846
935.0,196140
936.0,184294
937.0,159984
938.0,119657
939.0,137341
940.0,191364
941.0,164602
942.0,133790
943.0,136898
944.0,192038
945.0,162199
946.0,182562
947.0,157875
948.0,141396
949.0,118252
950.0,135580
951.0,107295
952.0,172026
953.0,129347
954.0,139812
955.0,113075
956.0,111295
957.0,88444
958.0,86993
959.0,74424
960.0,93534
961.0,86826
962.0,65602
963.0,83516
964.0,77765
965.0,70855
966.0,70282
967.0,69472
968.0,102612
969.0,84530
970.0,89538
971.0,72980
972.0,65447
973.0,64614
974.0,60488
975.0,58894
976.0,61857
977.0,50935
978.0,58015
979.0,48679
980.0,41542
981.0,34590
982.0,40653
983.0,33903
984.0,54190
985.0,47075
986.0,50814
987.0,45831
988.0,40245
989.0,33008
990.0,37877
991.0,32328
992.0,95406
993.0,66478
994.0,83446
995.0,61199
996.0,54457
997.0,54953
998.0,55567
999.0,53049
1000.0,70780
1001.0,61682
1002.0,65425
1003.0,56875
1004.0,54497
1005.0,49097
1006.0,50033
1007.0,44088
1008.0,48473
1009.0,40829
1010.0,45439
1011.0,37554
1012.0,36906
1013.0,31322
1014.0,35659
1015.0,29474
1016.0,43706
1017.0,38095
1018.0,40240
1019.0,37367
1020.0,32078
1021.0,25200
1022.0,29197
1023.0,24058
1024.0,23224
1025.0,19618
1026.0,24390
1027.0,21612
1028.0,18590
